交易编号,方向,结果,K1柱体,突破力度比,K1开盘,K1最高,K1最低,K1收盘,K2开盘,K2最高,K2最低,K2收盘
110,做多,止盈,32.039999999999964,-0.7615480649188552,3317.0,3318.34,3279.76,3284.96,3284.97,3293.94,3255.92,3288.27
1633,做多,止盈,30.699999999999818,-0.7615635179153027,4033.7,4034.18,4003.0,4003.0,4003.01,4010.8,3999.94,4008.44
956,做空,止损,22.200000000000273,-0.7617117117117163,2535.6,2560.5,2535.6,2557.8,2557.8,2565.26,2552.51,2552.82
1667,做空,止盈,58.13000000000011,-0.7620849819370316,3795.44,3853.7,3780.32,3853.57,3853.56,3864.23,3824.62,3826.98
1464,做多,止盈,28.539999999999964,-0.7624386825508145,4355.22,4358.51,4317.64,4326.68,4326.69,4336.75,4311.01,4319.01
1269,做空,止损,19.59999999999991,-0.7627551020408105,3743.5,3767.7,3743.5,3763.1,3763.09,3771.42,3758.45,3765.15
420,做空,止盈,12.139999999999873,-0.7627677100494493,2429.01,2442.22,2426.95,2441.15,2441.16,2442.64,2436.21,2437.6
124,做多,止损,22.110000000000127,-0.7630031659882313,3298.06,3302.27,3275.55,3275.95,3275.95,3285.4,3270.0,3280.21
736,做空,止盈,16.210000000000036,-0.7637260950030895,1588.7,1610.74,1587.87,1604.91,1604.91,1616.96,1600.25,1600.53
499,做多,止损,31.789999999999964,-0.7659641396665599,2081.2,2081.48,2041.99,2049.41,2049.41,2057.13,2033.12,2050.87
1014,做空,止损,11.899999999999636,-0.766386554621863,2558.09,2571.4,2555.88,2569.99,2569.99,2575.0,2565.0,2567.79
1449,做空,止盈,23.50999999999931,-0.7669076988515643,4480.68,4505.56,4474.62,4504.19,4504.19,4508.27,4492.65,4492.65
165,做空,止损,27.480000000000018,-0.767831149927216,3174.02,3202.58,3171.38,3201.5,3201.5,3215.73,3192.48,3197.12
988,做多,止盈,14.860000000000127,-0.7678331090174803,2508.54,2510.24,2492.99,2493.68,2493.68,2498.83,2485.65,2494.16
149,做空,止盈,50.309999999999945,-0.7678393957463755,3027.39,3081.72,3026.37,3077.7,3077.7,3083.8,3065.0,3070.8
504,做空,止损,14.019999999999982,-0.7681883024251229,2047.46,2061.6,2046.24,2061.48,2061.48,2065.3,2057.01,2057.89
1677,做多,止损,30.579999999999927,-0.7691301504251157,3966.61,3971.37,3934.06,3936.03,3936.04,3947.85,3917.61,3947.0
1134,做空,止盈,54.25,-0.7697695852534518,2905.75,2985.0,2894.23,2960.0,2960.0,3000.0,2935.99,2972.17
978,做空,止盈,21.7800000000002,-0.7699724517906257,2594.6,2617.99,2593.2,2616.38,2616.38,2622.29,2609.97,2610.2
308,做多,止盈,18.309999999999945,-0.7700709994538477,2643.1,2643.1,2617.9,2624.79,2624.8,2629.0,2611.4,2618.22
872,做空,止盈,14.890000000000327,-0.7703156480859333,2569.22,2586.77,2563.28,2584.11,2584.12,2591.01,2574.75,2583.86
323,做空,止损,14.909999999999854,-0.7706237424547212,2691.01,2711.0,2691.01,2705.92,2705.93,2715.87,2702.5,2706.21
1574,做空,止盈,20.420000000000073,-0.771792360430958,4329.65,4357.52,4329.65,4350.07,4350.07,4358.48,4345.41,4354.7
1133,做空,止损,28.220000000000255,-0.7725017717930379,2777.85,2811.0,2772.8,2806.07,2806.07,2813.01,2794.6,2806.0
1367,做多,止盈,22.280000000000655,-0.7728904847396656,4479.68,4481.09,4448.8,4457.4,4457.41,4463.87,4443.55,4459.56
364,做多,止盈,25.360000000000127,-0.7736593059936827,2416.79,2416.85,2382.8,2391.43,2391.42,2397.23,2370.0,2383.51
975,做空,止盈,12.450000000000273,-0.7742971887550294,2614.61,2615.35,2588.16,2602.16,2602.16,2617.79,2597.8,2615.08
